id;k1;b1;D1;p-value linear 1;R_score1;AIC_linear1;kef x^2 (1);kef x (1);kef 1 (1);p-value quadr 1;R_score quadr 1;AIC_quadr1;k2;b2;D2;p-value linear 2;R_score2;AIC_linear2;kef x^2 (2);kef x (2);kef 1 (2);p-value quadr 2;R_score quadr 2;AIC_quadr2;k3;b3;D3;p-value linear 3;R_score3;AIC_linear3;kef x^2 (3);kef x (3);kef 1 (3);p-value quadr 3;R_score quadr 3;AIC_quadr3;k4;b4;D4;p-value linear 4;R_score4;AIC_linear4;kef x^2 (4);kef x (4);kef 1 (4);p-value quadr 4;R_score quadr 4;AIC_quadr4
0001;-1.805;14.175;1.805;0.000;0.991;86.503;-0.048;-1.097;12.142;0.000;0.999;0.138;-1.806;14.142;1.806;0.000;0.991;88.032;-0.049;-1.081;12.061;0.000;0.999;-2.293;-1.812;14.157;1.812;0.000;0.991;88.829;-0.049;-1.085;12.070;0.000;0.999;1.608;-1.813;14.168;1.813;0.000;0.991;87.642;-0.048;-1.100;12.121;0.000;0.999;3.938
0002;-1.793;13.861;1.793;0.000;0.991;88.328;-0.049;-1.066;11.773;0.000;0.999;-2.121;-1.792;13.864;1.792;0.000;0.991;88.236;-0.049;-1.064;11.776;0.000;0.999;-2.891;-1.796;13.849;1.796;0.000;0.991;88.111;-0.049;-1.074;11.778;0.000;0.999;0.876;-1.798;13.836;1.798;0.000;0.991;88.390;-0.049;-1.076;11.763;0.000;0.999;2.277
0003;-1.810;13.554;1.810;0.000;0.990;93.541;-0.051;-1.057;11.392;0.000;0.998;13.635;-1.809;13.543;1.809;0.000;0.990;91.918;-0.050;-1.067;11.414;0.000;0.998;11.036;-1.807;13.529;1.807;0.000;0.991;91.360;-0.050;-1.070;11.414;0.000;0.998;10.898;-1.809;13.547;1.809;0.000;0.990;92.668;-0.051;-1.064;11.406;0.000;0.998;12.812
0004;-1.772;13.925;1.772;0.000;0.990;91.155;-0.051;-1.016;11.752;0.000;0.999;-5.379;-1.772;13.930;1.772;0.000;0.990;91.903;-0.052;-1.010;11.743;0.000;0.999;-3.900;-1.774;13.934;1.774;0.000;0.990;92.995;-0.053;-0.998;11.706;0.000;0.999;-7.206;-1.775;13.921;1.775;0.000;0.990;93.257;-0.053;-0.995;11.680;0.000;0.999;-9.255
0005;-1.766;13.810;1.766;0.000;0.989;96.596;-0.054;-0.965;11.512;0.000;0.999;1.176;-1.767;13.808;1.767;0.000;0.989;96.121;-0.054;-0.970;11.517;0.000;0.999;-0.261;-1.767;13.806;1.767;0.000;0.989;96.201;-0.054;-0.970;11.519;0.000;0.999;1.225;-1.765;13.806;1.765;0.000;0.989;96.331;-0.054;-0.969;11.521;0.000;0.999;2.742
0006;-1.780;14.019;1.780;0.000;0.991;90.073;-0.050;-1.035;11.881;0.000;0.999;-3.645;-1.780;14.020;1.780;0.000;0.990;90.402;-0.051;-1.031;11.871;0.000;0.999;-3.912;-1.780;14.029;1.780;0.000;0.990;91.143;-0.051;-1.024;11.857;0.000;0.999;-5.388;-1.781;14.019;1.781;0.000;0.990;91.188;-0.051;-1.023;11.844;0.000;0.999;-5.724
0007;-1.808;14.736;1.808;0.000;0.992;85.921;-0.047;-1.109;12.728;0.000;0.999;2.572;-1.810;14.763;1.810;0.000;0.992;86.319;-0.048;-1.109;12.749;0.000;0.999;3.496;-1.812;14.775;1.812;0.000;0.992;86.027;-0.048;-1.111;12.763;0.000;0.999;2.188;-1.805;14.729;1.805;0.000;0.991;86.401;-0.048;-1.100;12.703;0.000;0.999;1.322
0008;-1.751;14.027;1.751;0.000;0.988;98.573;-0.056;-0.926;11.657;0.000;0.999;-4.019;-1.752;14.025;1.752;0.000;0.988;98.837;-0.056;-0.924;11.649;0.000;0.999;-3.165;-1.752;14.014;1.752;0.000;0.988;97.997;-0.056;-0.932;11.659;0.000;0.999;-4.211;-1.754;14.007;1.754;0.000;0.988;98.260;-0.056;-0.931;11.643;0.000;0.999;-4.434
0009;-1.773;13.591;1.773;0.000;0.989;95.698;-0.053;-0.989;11.339;0.000;0.998;6.850;-1.772;13.602;1.772;0.000;0.989;95.714;-0.053;-0.987;11.347;0.000;0.998;6.143;-1.773;13.598;1.773;0.000;0.989;95.761;-0.053;-0.986;11.337;0.000;0.998;5.124;-1.774;13.587;1.774;0.000;0.989;96.003;-0.054;-0.985;11.321;0.000;0.998;5.336
0010;-1.780;13.890;1.780;0.000;0.989;95.728;-0.053;-1.004;11.662;0.000;0.998;12.591;-1.779;13.890;1.779;0.000;0.989;95.656;-0.052;-1.006;11.669;0.000;0.998;13.565;-1.782;13.888;1.782;0.000;0.989;95.912;-0.053;-1.005;11.655;0.000;0.998;12.635;-1.782;13.855;1.782;0.000;0.990;94.816;-0.053;-1.003;11.618;0.000;0.999;4.312
