id;k1;b1;D1;p-value linear 1;R_score1;AIC_linear1;kef x^2 (1);kef x (1);kef 1 (1);p-value quadr 1;R_score quadr 1;AIC_quadr1
0001;-1.969;14.573;1.969;0.0000000000000000000000000;0.999;-75.562;-0.008;-1.893;14.420;0.0000000000000000000000000;0.999;-77.163
0002;-1.936;14.778;1.936;0.0000000000000000000000000;0.999;-77.458;-0.000;-1.933;14.773;0.0000000000000000000000000;0.999;-75.461
0008;-1.988;15.965;1.988;0.0000000000000000000000000;0.999;-79.595;0.004;-2.030;16.048;0.0000000000000000000000000;0.999;-78.745
0009;-2.012;15.613;2.012;0.0000000000000000000000000;0.998;-29.951;0.010;-2.107;15.804;0.0000000000000000000000000;0.998;-29.750
0010;-1.883;14.047;1.883;0.0000000000000000000000000;0.998;-43.503;-0.025;-1.648;13.576;0.0000000000000000000000000;0.999;-60.100
0013;-1.973;13.937;1.973;0.0000000000000000000000000;0.999;-46.120;0.001;-1.985;13.961;0.0000000000000000000000000;0.999;-44.163
0014;-1.868;13.419;1.868;0.0000000000000000000000000;0.996;-7.681;-0.050;-1.396;12.470;0.0000000000000000000000000;0.998;-44.948
0015;-1.908;14.343;1.908;0.0000000000000000000000000;0.998;-33.558;-0.014;-1.778;14.082;0.0000000000000000000000000;0.998;-35.329
0016;-2.000;15.932;2.000;0.0000000000000000000000000;0.996;-6.123;0.015;-2.146;16.225;0.0000000000000000000000000;0.997;-6.499
0017;-1.934;14.235;1.934;0.0000000000000000000000000;0.999;-81.160;-0.007;-1.872;14.109;0.0000000000000000000000000;0.999;-81.909
0018;-1.984;15.815;1.984;0.0000000000000000000000000;1.000;-110.791;0.004;-2.021;15.890;0.0000000000000000000000000;1.000;-110.777
0019;-1.977;15.212;1.977;0.0000000000000000000000000;0.999;-55.113;0.010;-2.070;15.398;0.0000000000000000000000000;0.999;-56.335
0020;-1.990;14.629;1.990;0.0000000000000000000000000;1.000;-94.031;0.007;-2.056;14.761;0.0000000000000000000000000;1.000;-96.251
0022;-1.984;14.554;1.984;0.0000000000000000000000000;0.995;4.512;0.015;-2.122;14.831;0.0000000000000000000000000;0.995;4.879
0024;-1.960;14.737;1.960;0.0000000000000000000000000;0.999;-63.393;-0.007;-1.891;14.598;0.0000000000000000000000000;0.999;-63.543
0026;-1.994;14.855;1.994;0.0000000000000000000000000;0.998;-35.389;0.001;-2.001;14.870;0.0000000000000000000000000;0.998;-33.401
0027;-1.768;12.638;1.768;0.0000000000000000000000000;0.996;-13.546;0.042;-2.164;13.435;0.0000000000000000000000000;0.998;-40.147
0028;-1.967;14.370;1.967;0.0000000000000000000000000;0.999;-75.196;-0.000;-1.965;14.366;0.0000000000000000000000000;0.999;-73.198
0029;-1.905;13.215;1.905;0.0000000000000000000000000;0.999;-78.496;-0.017;-1.741;12.886;0.0000000000000000000000000;1.000;-98.634
0030;-1.954;13.052;1.954;0.0000000000000000000000000;0.998;-38.893;-0.019;-1.773;12.687;0.0000000000000000000000000;0.999;-45.800
0032;-1.962;14.102;1.962;0.0000000000000000000000000;0.999;-81.132;-0.007;-1.896;13.970;0.0000000000000000000000000;0.999;-82.137
